tag_name;cim_obj_id;cim_network_id;cim_obj;odata_type;cim_notify;function
ALIAS_3823453_E;_f1ea7978-b730-4619-bb35-750e52c8fe34;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_71727_p;_2a682f16-df05-4bc3-8558-599f397cd14c;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N51P0079_ANA0;_e14da315-1a98-48ae-a244-26de5a3381ec;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22899_ANM_MW;_f29d2fab-8815-4a34-987b-d6d454a3b682;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;
N23P0124_ANA0;_30d32525-4995-4877-b46f-ed242fe2a1c1;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N00G0038_132_205ANW;_6550bb70-c0bd-422c-9b35-2caf4b05e507;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N23P0123_ANB8;_16e3ecea-6649-41fe-9359-0dd0c29378e5;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22907_COMMS_FAIL;_f786dddb-b134-4e4c-8939-0f76015dbc4c;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0125_ANA0;_a2e087db-1af1-4929-9bdb-232892d2951f;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_2613902_E;_1b4f6d9a-aa52-43b0-8535-6e3ca8916d8c;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22907_ANM_MVAR_EXP_SP;_ae275a51-2bb2-4fff-8a87-c44874e2ba55;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22907_ANM_MVAR_EXP_SP,CS22907_ANM_MVAR_EXP_SP,1,IccpApi)
N890044_2S0ANW_WBUR;_5f8861e5-18cc-4ae1-ba2d-13d7598f0c47;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_749761_S;_d8072e18-0b5f-400d-96d3-b755f49ffe87;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_132_105ANR;_16d88694-b188-440a-ab9f-486fa6354fc6;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
